,boro,housenumber,streetname,zip,address,long,lat
10992,MANHATTAN,120,EAST 85 STREET,10028,"120 EAST 85 STREET, NEW YORK, NEW YORK",,
10993,MANHATTAN,124,EAST 85 STREET,10028,"124 EAST 85 STREET, NEW YORK, NEW YORK",,
10994,MANHATTAN,128,EAST 85 STREET,10028,"128 EAST 85 STREET, NEW YORK, NEW YORK",,
10995,MANHATTAN,131,EAST 85 STREET,10028,"131 EAST 85 STREET, NEW YORK, NEW YORK",,
10996,MANHATTAN,149,EAST 85 STREET,10028,"149 EAST 85 STREET, NEW YORK, NEW YORK",,
10997,MANHATTAN,150,EAST 85 STREET,10028,"150 EAST 85 STREET, NEW YORK, NEW YORK",,
10998,MANHATTAN,153,EAST 85 STREET,10028,"153 EAST 85 STREET, NEW YORK, NEW YORK",,
10999,MANHATTAN,154,EAST 85 STREET,10028,"154 EAST 85 STREET, NEW YORK, NEW YORK",,
11000,MANHATTAN,155,EAST 85 STREET,10028,"155 EAST 85 STREET, NEW YORK, NEW YORK",,
11001,MANHATTAN,156,EAST 85 STREET,10028,"156 EAST 85 STREET, NEW YORK, NEW YORK",,
11002,MANHATTAN,157,EAST 85 STREET,10028,"157 EAST 85 STREET, NEW YORK, NEW YORK",,
11003,MANHATTAN,159,EAST 85 STREET,10028,"159 EAST 85 STREET, NEW YORK, NEW YORK",,
11004,MANHATTAN,160,EAST 85 STREET,10028,"160 EAST 85 STREET, NEW YORK, NEW YORK",,
11005,MANHATTAN,162,EAST 85 STREET,10028,"162 EAST 85 STREET, NEW YORK, NEW YORK",,
11006,MANHATTAN,164,EAST 85 STREET,10028,"164 EAST 85 STREET, NEW YORK, NEW YORK",,
11007,MANHATTAN,172,EAST 85 STREET,10028,"172 EAST 85 STREET, NEW YORK, NEW YORK",,
11008,MANHATTAN,174,EAST 85 STREET,10028,"174 EAST 85 STREET, NEW YORK, NEW YORK",,
11009,MANHATTAN,176,EAST 85 STREET,10028,"176 EAST 85 STREET, NEW YORK, NEW YORK",,
11010,MANHATTAN,206,EAST 85 STREET,10028,"206 EAST 85 STREET, NEW YORK, NEW YORK",,
11011,MANHATTAN,207,EAST 85 STREET,10028,"207 EAST 85 STREET, NEW YORK, NEW YORK",,
11012,MANHATTAN,208,EAST 85 STREET,10028,"208 EAST 85 STREET, NEW YORK, NEW YORK",,
11013,MANHATTAN,210,EAST 85 STREET,10028,"210 EAST 85 STREET, NEW YORK, NEW YORK",,
11014,MANHATTAN,212,EAST 85 STREET,10028,"212 EAST 85 STREET, NEW YORK, NEW YORK",,
